"","Anio","Mes","Anom_Mensual","Anom_Anual","Fecha"
"228",1868,12,-0.154,-0.192,1868-12-01
"229",1869,1,-0.225,-0.215,1869-01-01
"230",1869,2,0.019,-0.225,1869-02-01
"231",1869,3,-0.46,-0.21,1869-03-01
"232",1869,4,-0.313,-0.227,1869-04-01
"233",1869,5,-0.213,-0.217,1869-05-01
"234",1869,6,-0.217,-0.239,1869-06-01
"235",1869,7,-0.272,-0.246,1869-07-01
"236",1869,8,-0.215,-0.29,1869-08-01
"237",1869,9,-0.103,-0.281,1869-09-01
"238",1869,10,-0.233,-0.28,1869-10-01
"239",1869,11,-0.212,-0.28,1869-11-01
"240",1869,12,-0.424,-0.272,1869-12-01
"241",1870,1,-0.314,-0.26,1870-01-01
"242",1870,2,-0.5,-0.269,1870-02-01
"243",1870,3,-0.362,-0.278,1870-03-01
"244",1870,4,-0.294,-0.287,1870-04-01
"245",1870,5,-0.219,-0.298,1870-05-01
"246",1870,6,-0.122,-0.311,1870-06-01
"247",1870,7,-0.128,-0.331,1870-07-01
"248",1870,8,-0.312,-0.341,1870-08-01
"249",1870,9,-0.217,-0.334,1870-09-01
"250",1870,10,-0.337,-0.317,1870-10-01
"251",1870,11,-0.342,-0.324,1870-11-01
"252",1870,12,-0.584,-0.335,1870-12-01
"253",1871,1,-0.553,-0.34,1871-01-01
"254",1871,2,-0.623,-0.333,1871-02-01
"255",1871,3,-0.281,-0.349,1871-03-01
"256",1871,4,-0.082,-0.344,1871-04-01
"257",1871,5,-0.304,-0.362,1871-05-01
"258",1871,6,-0.253,-0.347,1871-06-01
"259",1871,7,-0.192,-0.339,1871-07-01
"260",1871,8,-0.224,-0.323,1871-08-01
"261",1871,9,-0.418,-0.331,1871-09-01
"262",1871,10,-0.27,-0.356,1871-10-01
"263",1871,11,-0.559,-0.348,1871-11-01
"264",1871,12,-0.4,-0.352,1871-12-01
"265",1872,1,-0.463,-0.349,1872-01-01
"266",1872,2,-0.426,-0.337,1872-02-01
"267",1872,3,-0.378,-0.32,1872-03-01
"268",1872,4,-0.386,-0.316,1872-04-01
"269",1872,5,-0.211,-0.306,1872-05-01
"270",1872,6,-0.299,-0.314,1872-06-01
"271",1872,7,-0.155,-0.302,1872-07-01
"272",1872,8,-0.075,-0.274,1872-08-01
"273",1872,9,-0.217,-0.267,1872-09-01
"274",1872,10,-0.222,-0.275,1872-10-01
"275",1872,11,-0.44,-0.282,1872-11-01
"276",1872,12,-0.498,-0.277,1872-12-01
"277",1873,1,-0.317,-0.281,1873-01-01
"278",1873,2,-0.096,-0.29,1873-02-01
"279",1873,3,-0.289,-0.305,1873-03-01
"280",1873,4,-0.482,-0.308,1873-04-01
"281",1873,5,-0.295,-0.3,1873-05-01
"282",1873,6,-0.238,-0.278,1873-06-01
"283",1873,7,-0.209,-0.27,1873-07-01
"284",1873,8,-0.177,-0.286,1873-08-01
"285",1873,9,-0.395,-0.316,1873-09-01
"286",1873,10,-0.256,-0.307,1873-10-01
"287",1873,11,-0.352,-0.302,1873-11-01
"288",1873,12,-0.233,-0.312,1873-12-01
"289",1874,1,-0.221,-0.32,1874-01-01
"290",1874,2,-0.282,-0.322,1874-02-01
"291",1874,3,-0.65,-0.305,1874-03-01
"292",1874,4,-0.378,-0.312,1874-04-01
"293",1874,5,-0.238,-0.319,1874-05-01
"294",1874,6,-0.352,-0.326,1874-06-01
"295",1874,7,-0.3,-0.347,1874-07-01
"296",1874,8,-0.207,-0.355,1874-08-01
"297",1874,9,-0.195,-0.339,1874-09-01
"298",1874,10,-0.337,-0.34,1874-10-01
"299",1874,11,-0.436,-0.345,1874-11-01
"300",1874,12,-0.315,-0.341,1874-12-01
"301",1875,1,-0.468,-0.336,1875-01-01
"302",1875,2,-0.378,-0.342,1875-02-01
"303",1875,3,-0.466,-0.35,1875-03-01
"304",1875,4,-0.392,-0.339,1875-04-01
"305",1875,5,-0.292,-0.348,1875-05-01
"306",1875,6,-0.302,-0.36,1875-06-01
"307",1875,7,-0.247,-0.353,1875-07-01
"308",1875,8,-0.278,-0.345,1875-08-01
"309",1875,9,-0.294,-0.332,1875-09-01
"310",1875,10,-0.199,-0.322,1875-10-01
"311",1875,11,-0.548,-0.342,1875-11-01
"312",1875,12,-0.462,-0.346,1875-12-01
"313",1876,1,-0.382,-0.341,1876-01-01
"314",1876,2,-0.281,-0.346,1876-02-01
"315",1876,3,-0.302,-0.353,1876-03-01
"316",1876,4,-0.28,-0.36,1876-04-01
"317",1876,5,-0.532,-0.356,1876-05-01
"318",1876,6,-0.346,-0.365,1876-06-01
"319",1876,7,-0.193,-0.349,1876-07-01
"320",1876,8,-0.332,-0.334,1876-08-01
"321",1876,9,-0.384,-0.305,1876-09-01
"322",1876,10,-0.28,-0.293,1876-10-01
"323",1876,11,-0.492,-0.254,1876-11-01
"324",1876,12,-0.577,-0.232,1876-12-01
"325",1877,1,-0.19,-0.207,1877-01-01
"326",1877,2,-0.095,-0.162,1877-02-01
"327",1877,3,0.041,-0.118,1877-03-01
"328",1877,4,-0.134,-0.079,1877-04-01
"329",1877,5,-0.066,-0.021,1877-05-01
"330",1877,6,-0.08,0.021,1877-06-01
"331",1877,7,0.106,0.036,1877-07-01
"332",1877,8,0.207,0.079,1877-08-01
"333",1877,9,0.145,0.123,1877-09-01
"334",1877,10,0.181,0.158,1877-10-01
"335",1877,11,0.211,0.158,1877-11-01
"336",1877,12,-0.074,0.172,1877-12-01
"337",1878,1,-0.005,0.171,1878-01-01
"338",1878,2,0.416,0.158,1878-02-01
"339",1878,3,0.567,0.143,1878-03-01
"340",1878,4,0.292,0.122,1878-04-01
"341",1878,5,-0.067,0.107,1878-05-01
"342",1878,6,0.087,0.104,1878-06-01
"343",1878,7,0.086,0.093,1878-07-01
"344",1878,8,0.06,0.039,1878-08-01
"345",1878,9,-0.04,-0.013,1878-09-01
"346",1878,10,-0.072,-0.062,1878-10-01
"347",1878,11,0.038,-0.077,1878-11-01
"348",1878,12,-0.119,-0.102,1878-12-01
"349",1879,1,-0.13,-0.129,1879-01-01
"350",1879,2,-0.235,-0.155,1879-02-01
"351",1879,3,-0.06,-0.177,1879-03-01
"352",1879,4,-0.297,-0.178,1879-04-01
"353",1879,5,-0.247,-0.206,1879-05-01
"354",1879,6,-0.205,-0.239,1879-06-01
"355",1879,7,-0.238,-0.259,1879-07-01
"356",1879,8,-0.256,-0.283,1879-08-01
"357",1879,9,-0.308,-0.303,1879-09-01
"358",1879,10,-0.081,-0.308,1879-10-01
"359",1879,11,-0.297,-0.309,1879-11-01
"360",1879,12,-0.514,-0.319,1879-12-01
"361",1880,1,-0.373,-0.323,1880-01-01
"362",1880,2,-0.52,-0.322,1880-02-01
"363",1880,3,-0.303,-0.329,1880-03-01
"364",1880,4,-0.355,-0.35,1880-04-01
"365",1880,5,-0.254,-0.341,1880-05-01
"366",1880,6,-0.327,-0.318,1880-06-01
"367",1880,7,-0.288,-0.296,1880-07-01
"368",1880,8,-0.241,-0.269,1880-08-01
"369",1880,9,-0.39,-0.251,1880-09-01
"370",1880,10,-0.331,-0.224,1880-10-01
"371",1880,11,-0.199,-0.212,1880-11-01
"372",1880,12,-0.229,-0.216,1880-12-01
"373",1881,1,-0.109,-0.206,1881-01-01
"374",1881,2,-0.199,-0.2,1881-02-01
"375",1881,3,-0.087,-0.193,1881-03-01
"376",1881,4,-0.034,-0.187,1881-04-01
"377",1881,5,-0.113,-0.204,1881-05-01
"378",1881,6,-0.368,-0.203,1881-06-01
"379",1881,7,-0.167,-0.185,1881-07-01
"380",1881,8,-0.169,-0.168,1881-08-01
"381",1881,9,-0.306,-0.171,1881-09-01
"382",1881,10,-0.262,-0.193,1881-10-01
"383",1881,11,-0.403,-0.206,1881-11-01
"384",1881,12,-0.215,-0.204,1881-12-01
"385",1882,1,0.102,-0.22,1882-01-01
"386",1882,2,0.009,-0.226,1882-02-01
"387",1882,3,-0.126,-0.217,1882-03-01
"388",1882,4,-0.301,-0.225,1882-04-01
"389",1882,5,-0.263,-0.228,1882-05-01
"390",1882,6,-0.342,-0.256,1882-06-01
"391",1882,7,-0.369,-0.299,1882-07-01
"392",1882,8,-0.23,-0.336,1882-08-01
"393",1882,9,-0.207,-0.333,1882-09-01
"394",1882,10,-0.35,-0.335,1882-10-01
"395",1882,11,-0.44,-0.333,1882-11-01
"396",1882,12,-0.558,-0.317,1882-12-01
"397",1883,1,-0.41,-0.309,1883-01-01
"398",1883,2,-0.433,-0.321,1883-02-01
"399",1883,3,-0.094,-0.334,1883-03-01
"400",1883,4,-0.318,-0.329,1883-04-01
"401",1883,5,-0.24,-0.333,1883-05-01
"402",1883,6,-0.152,-0.31,1883-06-01
"403",1883,7,-0.281,-0.296,1883-07-01
"404",1883,8,-0.369,-0.276,1883-08-01
"405",1883,9,-0.367,-0.311,1883-09-01
"406",1883,10,-0.285,-0.331,1883-10-01
"407",1883,11,-0.492,-0.36,1883-11-01
"408",1883,12,-0.274,-0.392,1883-12-01
"409",1884,1,-0.242,-0.416,1884-01-01
"410",1884,2,-0.201,-0.427,1884-02-01
"411",1884,3,-0.505,-0.442,1884-03-01
"412",1884,4,-0.568,-0.457,1884-04-01
"413",1884,5,-0.589,-0.467,1884-05-01
"414",1884,6,-0.536,-0.481,1884-06-01
"415",1884,7,-0.568,-0.518,1884-07-01
"416",1884,8,-0.499,-0.54,1884-08-01
"417",1884,9,-0.552,-0.528,1884-09-01
"418",1884,10,-0.465,-0.524,1884-10-01
"419",1884,11,-0.606,-0.521,1884-11-01
"420",1884,12,-0.446,-0.524,1884-12-01
"421",1885,1,-0.679,-0.506,1885-01-01
"422",1885,2,-0.472,-0.502,1885-02-01
"423",1885,3,-0.357,-0.493,1885-03-01
"424",1885,4,-0.515,-0.482,1885-04-01
"425",1885,5,-0.562,-0.464,1885-05-01
"426",1885,6,-0.568,-0.44,1885-06-01
"427",1885,7,-0.353,-0.437,1885-07-01
"428",1885,8,-0.443,-0.451,1885-08-01
"429",1885,9,-0.444,-0.466,1885-09-01
"430",1885,10,-0.333,-0.456,1885-10-01
"431",1885,11,-0.393,-0.437,1885-11-01
"432",1885,12,-0.164,-0.428,1885-12-01
"433",1886,1,-0.637,-0.423,1886-01-01
"434",1886,2,-0.644,-0.424,1886-02-01
"435",1886,3,-0.539,-0.429,1886-03-01
"436",1886,4,-0.396,-0.44,1886-04-01
"437",1886,5,-0.331,-0.453,1886-05-01
"438",1886,6,-0.465,-0.468,1886-06-01
"439",1886,7,-0.29,-0.495,1886-07-01
"440",1886,8,-0.453,-0.5,1886-08-01
"441",1886,9,-0.506,-0.496,1886-09-01
"442",1886,10,-0.461,-0.495,1886-10-01
"443",1886,11,-0.552,-0.507,1886-11-01
"444",1886,12,-0.344,-0.509,1886-12-01
"445",1887,1,-0.959,-0.514,1887-01-01
"446",1887,2,-0.706,-0.521,1887-02-01
"447",1887,3,-0.486,-0.513,1887-03-01
"448",1887,4,-0.391,-0.509,1887-04-01
"449",1887,5,-0.467,-0.497,1887-05-01
"450",1887,6,-0.496,-0.502,1887-06-01
"451",1887,7,-0.347,-0.452,1887-07-01
"452",1887,8,-0.543,-0.437,1887-08-01
"453",1887,9,-0.403,-0.434,1887-09-01
"454",1887,10,-0.413,-0.434,1887-10-01
"455",1887,11,-0.407,-0.424,1887-11-01
"456",1887,12,-0.41,-0.41,1887-12-01
"457",1888,1,-0.357,-0.402,1888-01-01
"458",1888,2,-0.525,-0.38,1888-02-01
"459",1888,3,-0.451,-0.371,1888-03-01
"460",1888,4,-0.384,-0.344,1888-04-01
"461",1888,5,-0.353,-0.323,1888-05-01
"462",1888,6,-0.327,-0.299,1888-06-01
"463",1888,7,-0.25,-0.279,1888-07-01
"464",1888,8,-0.282,-0.216,1888-08-01
"465",1888,9,-0.3,-0.174,1888-09-01
"466",1888,10,-0.084,-0.137,1888-10-01
"467",1888,11,-0.157,-0.12,1888-11-01
"468",1888,12,-0.116,-0.11,1888-12-01
"469",1889,1,-0.113,-0.102,1889-01-01
"470",1889,2,0.23,-0.103,1889-02-01
"471",1889,3,0.047,-0.108,1889-03-01
"472",1889,4,0.061,-0.126,1889-04-01
"473",1889,5,-0.152,-0.154,1889-05-01
"474",1889,6,-0.201,-0.172,1889-06-01
"475",1889,7,-0.16,-0.201,1889-07-01
"476",1889,8,-0.291,-0.256,1889-08-01
"477",1889,9,-0.36,-0.307,1889-09-01
"478",1889,10,-0.3,-0.347,1889-10-01
"479",1889,11,-0.493,-0.376,1889-11-01
"480",1889,12,-0.333,-0.4,1889-12-01
"481",1890,1,-0.456,-0.424,1890-01-01
"482",1890,2,-0.437,-0.439,1890-02-01
"483",1890,3,-0.565,-0.449,1890-03-01
"484",1890,4,-0.417,-0.448,1890-04-01
"485",1890,5,-0.502,-0.463,1890-05-01
"486",1890,6,-0.48,-0.466,1890-06-01
"487",1890,7,-0.447,-0.468,1890-07-01
"488",1890,8,-0.481,-0.481,1890-08-01
"489",1890,9,-0.47,-0.453,1890-09-01
"490",1890,10,-0.293,-0.449,1890-10-01
"491",1890,11,-0.668,-0.429,1890-11-01
"492",1890,12,-0.373,-0.419,1890-12-01
"493",1891,1,-0.482,-0.41,1891-01-01
"494",1891,2,-0.594,-0.395,1891-02-01
"495",1891,3,-0.23,-0.378,1891-03-01
"496",1891,4,-0.364,-0.382,1891-04-01
"497",1891,5,-0.268,-0.367,1891-05-01
"498",1891,6,-0.364,-0.345,1891-06-01
"499",1891,7,-0.34,-0.327,1891-07-01
"500",1891,8,-0.296,-0.293,1891-08-01
"501",1891,9,-0.266,-0.31,1891-09-01
"502",1891,10,-0.335,-0.32,1891-10-01
"503",1891,11,-0.492,-0.331,1891-11-01
"504",1891,12,-0.104,-0.324,1891-12-01
"505",1892,1,-0.276,-0.334,1892-01-01
"506",1892,2,-0.177,-0.347,1892-02-01
"507",1892,3,-0.436,-0.359,1892-03-01
"508",1892,4,-0.486,-0.353,1892-04-01
"509",1892,5,-0.399,-0.375,1892-05-01
"510",1892,6,-0.283,-0.407,1892-06-01
"511",1892,7,-0.462,-0.459,1892-07-01
"512",1892,8,-0.452,-0.496,1892-08-01
"513",1892,9,-0.402,-0.485,1892-09-01
"514",1892,10,-0.264,-0.474,1892-10-01
"515",1892,11,-0.754,-0.474,1892-11-01
"516",1892,12,-0.495,-0.476,1892-12-01
"517",1893,1,-0.904,-0.452,1893-01-01
"518",1893,2,-0.617,-0.436,1893-02-01
"519",1893,3,-0.298,-0.432,1893-03-01
"520",1893,4,-0.364,-0.429,1893-04-01
"521",1893,5,-0.391,-0.393,1893-05-01
"522",1893,6,-0.306,-0.386,1893-06-01
"523",1893,7,-0.172,-0.356,1893-07-01
"524",1893,8,-0.27,-0.341,1893-08-01
"525",1893,9,-0.351,-0.344,1893-09-01
"526",1893,10,-0.225,-0.357,1893-10-01
"527",1893,11,-0.325,-0.357,1893-11-01
"528",1893,12,-0.404,-0.37,1893-12-01
"529",1894,1,-0.547,-0.379,1894-01-01
"530",1894,2,-0.437,-0.379,1894-02-01
"531",1894,3,-0.336,-0.378,1894-03-01
"532",1894,4,-0.521,-0.377,1894-04-01
"533",1894,5,-0.396,-0.384,1894-05-01
"534",1894,6,-0.462,-0.376,1894-06-01
"535",1894,7,-0.274,-0.369,1894-07-01
"536",1894,8,-0.272,-0.37,1894-08-01
"537",1894,9,-0.332,-0.377,1894-09-01
"538",1894,10,-0.218,-0.357,1894-10-01
"539",1894,11,-0.409,-0.351,1894-11-01
"540",1894,12,-0.313,-0.335,1894-12-01
"541",1895,1,-0.456,-0.33,1895-01-01
"542",1895,2,-0.453,-0.332,1895-02-01
"543",1895,3,-0.413,-0.331,1895-03-01
"544",1895,4,-0.28,-0.331,1895-04-01
"545",1895,5,-0.323,-0.312,1895-05-01
"546",1895,6,-0.281,-0.301,1895-06-01
"547",1895,7,-0.212,-0.281,1895-07-01
"548",1895,8,-0.292,-0.265,1895-08-01
"549",1895,9,-0.325,-0.268,1895-09-01
"550",1895,10,-0.211,-0.282,1895-10-01
"551",1895,11,-0.189,-0.277,1895-11-01
"552",1895,12,-0.181,-0.266,1895-12-01
"553",1896,1,-0.214,-0.257,1896-01-01
"554",1896,2,-0.256,-0.241,1896-02-01
"555",1896,3,-0.453,-0.229,1896-03-01
"556",1896,4,-0.443,-0.214,1896-04-01
"557",1896,5,-0.273,-0.221,1896-05-01
